"time","rep","training_site","infections","importations","testPositive"
1,184,"FLW",1,0,2
1,185,"FB",0,0,8
1,185,"FLW",1,0,4
1,186,"FB",1,0,6
1,186,"FLW",0,0,2
1,187,"FB",0,0,10
1,187,"FLW",0,0,3
1,188,"FB",0,0,2
1,188,"FLW",0,0,6
1,189,"FB",0,0,13
1,189,"FLW",0,0,1
1,19,"FB",0,0,8
1,19,"FLW",0,0,5
1,190,"FB",0,0,5
1,190,"FLW",0,0,2
1,191,"FB",1,0,5
1,191,"FLW",0,0,2
1,192,"FB",1,0,11
1,192,"FLW",0,0,2
1,193,"FB",0,0,7
1,193,"FLW",0,0,2
1,194,"FB",0,0,8
1,194,"FLW",0,0,2
1,195,"FB",0,0,11
1,195,"FLW",0,0,0
1,196,"FB",3,0,8
1,196,"FLW",0,0,1
1,197,"FB",0,0,7
1,197,"FLW",0,0,2
1,198,"FB",3,0,10
1,198,"FLW",0,0,2
1,199,"FB",0,0,5
1,199,"FLW",0,0,4
1,2,"FB",0,0,5
1,2,"FLW",0,0,1
1,20,"FB",1,0,9
1,20,"FLW",0,0,1
1,200,"FB",0,0,4
1,200,"FLW",0,0,2
1,201,"FB",0,0,6
1,201,"FLW",0,0,5
1,202,"FB",0,0,10
1,202,"FLW",0,0,3
1,203,"FB",1,0,6
1,203,"FLW",0,0,5
1,204,"FB",0,0,2
1,204,"FLW",0,0,3
1,205,"FB",0,0,2
1,205,"FLW",0,0,4
1,206,"FB",0,0,8
1,206,"FLW",0,0,4
1,207,"FB",0,0,5
1,207,"FLW",0,0,4
1,208,"FB",1,0,8
1,208,"FLW",1,0,4
1,209,"FB",1,0,8
1,209,"FLW",1,0,1
1,21,"FB",1,0,8
1,21,"FLW",0,0,2
1,210,"FB",2,0,12
1,210,"FLW",0,0,3
1,211,"FB",0,0,8
1,211,"FLW",1,1,1
1,212,"FB",0,0,6
1,212,"FLW",0,0,7
1,213,"FB",0,0,7
1,213,"FLW",0,0,4
1,214,"FB",0,0,7
1,214,"FLW",0,0,2
1,215,"FB",0,0,11
1,215,"FLW",0,0,4
1,216,"FB",0,0,13
1,216,"FLW",2,0,1
1,217,"FB",1,0,9
1,217,"FLW",0,0,2
1,218,"FB",0,0,6
1,218,"FLW",0,0,5
1,219,"FB",0,0,6
1,219,"FLW",0,0,3
1,22,"FB",0,0,9
1,22,"FLW",0,0,3
1,220,"FB",2,1,8
1,220,"FLW",0,0,5
1,221,"FB",0,0,6
1,221,"FLW",0,0,3
1,222,"FB",1,0,7
1,222,"FLW",0,0,3
1,223,"FB",1,0,10
1,223,"FLW",0,0,1
1,224,"FB",1,0,12
1,224,"FLW",0,0,2
1,225,"FB",7,0,6
1,225,"FLW",0,0,3
1,226,"FB",1,1,10
1,226,"FLW",0,0,5
1,227,"FB",2,0,3
1,227,"FLW",0,0,3
1,228,"FB",2,0,5
1,228,"FLW",0,0,2
1,229,"FB",0,0,4
1,229,"FLW",0,0,3
1,23,"FB",1,0,7
1,23,"FLW",0,0,6
1,230,"FB",0,0,8
1,230,"FLW",0,0,5
1,231,"FB",0,0,7
1,231,"FLW",0,0,4
1,232,"FB",0,0,4
1,232,"FLW",0,0,3
1,233,"FB",0,0,7
1,233,"FLW",0,0,4
1,234,"FB",0,0,5
1,234,"FLW",0,0,2
1,235,"FB",1,0,10
1,235,"FLW",0,0,3
1,236,"FB",0,0,4
1,236,"FLW",0,0,1
1,237,"FB",0,0,8
1,237,"FLW",0,0,2
1,238,"FB",0,0,10
1,238,"FLW",0,0,1
1,239,"FB",0,0,10
1,239,"FLW",0,0,5
1,24,"FB",0,0,4
1,24,"FLW",0,0,5
1,240,"FB",0,0,4
1,240,"FLW",0,0,3
1,241,"FB",0,0,2
1,241,"FLW",0,0,7
1,242,"FB",0,0,5
1,242,"FLW",0,0,2
1,243,"FB",1,0,9
1,243,"FLW",1,0,4
1,244,"FB",1,0,10
1,244,"FLW",1,0,7
1,245,"FB",1,1,6
1,245,"FLW",0,0,3
1,246,"FB",1,0,9
1,246,"FLW",0,0,0
1,247,"FB",1,0,10
1,247,"FLW",0,0,5
1,248,"FB",0,0,7
1,248,"FLW",1,0,9
1,249,"FB",0,0,7
1,249,"FLW",0,0,5
1,25,"FB",1,0,7
1,25,"FLW",0,0,3
1,250,"FB",0,0,11
1,250,"FLW",0,0,4
1,251,"FB",2,0,5
1,251,"FLW",1,1,3
1,252,"FB",0,0,10
1,252,"FLW",0,0,3
1,253,"FB",1,0,14
1,253,"FLW",0,0,3
1,254,"FB",0,0,7
1,254,"FLW",0,0,3
1,255,"FB",0,0,11
1,255,"FLW",1,0,3
1,256,"FB",0,0,5
1,256,"FLW",0,0,0
1,257,"FB",0,0,5
1,257,"FLW",0,0,4
1,258,"FB",0,0,9
1,258,"FLW",0,0,7
1,259,"FB",0,0,6
1,259,"FLW",0,0,5
1,26,"FB",0,0,5
1,26,"FLW",0,0,4
1,260,"FB",0,0,5
1,260,"FLW",0,0,1
1,261,"FB",0,0,6
1,261,"FLW",1,0,3
1,262,"FB",1,0,8
1,262,"FLW",0,0,4
1,263,"FB",0,0,4
1,263,"FLW",0,0,3
1,264,"FB",0,0,13
1,264,"FLW",1,0,1
1,265,"FB",0,0,7
1,265,"FLW",2,0,2
1,266,"FB",0,0,4
1,266,"FLW",0,0,7
1,267,"FB",1,0,9
1,267,"FLW",0,0,4
1,268,"FB",4,0,5
1,268,"FLW",0,0,3
1,269,"FB",0,0,6
1,269,"FLW",1,0,4
1,27,"FB",0,0,8
1,27,"FLW",1,0,3
1,270,"FB",2,1,9
1,270,"FLW",0,0,4
1,271,"FB",0,0,9
1,271,"FLW",0,0,2
1,272,"FB",1,0,5
1,272,"FLW",0,0,5
1,273,"FB",2,0,5
1,273,"FLW",0,0,4
1,274,"FB",1,0,5
1,274,"FLW",0,0,3
1,275,"FB",0,0,7
1,275,"FLW",0,0,7
1,276,"FB",0,0,8
1,276,"FLW",0,0,2
1,277,"FB",0,0,8
1,277,"FLW",0,0,3
1,278,"FB",1,0,7
1,278,"FLW",0,0,2
1,279,"FB",0,0,9
1,279,"FLW",0,0,6
1,28,"FB",0,0,9
1,28,"FLW",0,0,2
1,280,"FB",0,0,2
1,280,"FLW",0,0,2
1,281,"FB",0,0,4
1,281,"FLW",0,0,2
1,282,"FB",0,0,10
1,282,"FLW",0,0,3
1,283,"FB",0,0,3
1,283,"FLW",1,0,8
1,284,"FB",5,0,12
1,284,"FLW",0,0,3
1,285,"FB",0,0,5
1,285,"FLW",0,0,1
1,286,"FB",1,0,15
1,286,"FLW",0,0,3
1,287,"FB",0,0,6
1,287,"FLW",1,0,5
1,288,"FB",0,0,3
1,288,"FLW",0,0,3
1,289,"FB",0,0,11
1,289,"FLW",0,0,2
1,29,"FB",0,0,14
1,29,"FLW",1,0,5
1,290,"FB",3,0,7
1,290,"FLW",1,1,1
1,291,"FB",2,0,7
1,291,"FLW",0,0,1
1,292,"FB",0,0,11
1,292,"FLW",0,0,2
1,293,"FB",4,0,6
1,293,"FLW",0,0,5
1,294,"FB",0,0,6
1,294,"FLW",0,0,3
1,295,"FB",0,0,10
1,295,"FLW",0,0,2
1,296,"FB",0,0,7
1,296,"FLW",2,0,1
1,297,"FB",0,0,11
1,297,"FLW",0,0,6
1,298,"FB",0,0,6
1,298,"FLW",0,0,5
1,299,"FB",1,0,8
1,299,"FLW",0,0,3
1,3,"FB",0,0,8
1,3,"FLW",1,0,4
1,30,"FB",0,0,7
1,30,"FLW",6,0,5
1,300,"FB",2,0,9
1,300,"FLW",0,0,3
1,301,"FB",0,0,13
1,301,"FLW",0,0,6
1,302,"FB",0,0,8
1,302,"FLW",0,0,1
1,303,"FB",0,0,4
1,303,"FLW",0,0,4
1,304,"FB",0,0,6
1,304,"FLW",0,0,3
1,305,"FB",0,0,3
1,305,"FLW",0,0,7
1,306,"FB",0,0,11
1,306,"FLW",0,0,4
1,307,"FB",0,0,10
1,307,"FLW",0,0,6
1,308,"FB",0,0,8
1,308,"FLW",0,0,4
1,309,"FB",1,0,8
1,309,"FLW",0,0,2
1,31,"FB",0,0,10
1,31,"FLW",0,0,1
1,310,"FB",1,0,7
1,310,"FLW",0,0,4
1,311,"FB",0,0,9
1,311,"FLW",0,0,3
1,312,"FB",1,0,6
1,312,"FLW",0,0,5
1,313,"FB",0,0,5
1,313,"FLW",0,0,6
1,314,"FB",0,0,7
1,314,"FLW",0,0,1
1,315,"FB",1,0,8
1,315,"FLW",0,0,2
1,316,"FB",0,0,8
1,316,"FLW",1,0,2
1,317,"FB",1,1,8
1,317,"FLW",0,0,7
1,318,"FB",0,0,8
1,318,"FLW",0,0,2
1,319,"FB",0,0,7
1,319,"FLW",0,0,6
1,32,"FB",3,0,6
1,32,"FLW",0,0,4
1,320,"FB",0,0,2
1,320,"FLW",0,0,2
1,321,"FB",0,0,5
1,321,"FLW",0,0,7
1,322,"FB",0,0,7
1,322,"FLW",0,0,3
1,323,"FB",0,0,9
1,323,"FLW",0,0,4
1,324,"FB",1,0,8
1,324,"FLW",0,0,0
1,325,"FB",0,0,6
1,325,"FLW",0,0,4
1,326,"FB",0,0,2
1,326,"FLW",0,0,3
1,327,"FB",0,0,6
1,327,"FLW",0,0,5
1,328,"FB",0,0,4
1,328,"FLW",1,0,4
1,329,"FB",1,0,6
1,329,"FLW",0,0,8
1,33,"FB",0,0,12
1,33,"FLW",0,0,4
1,330,"FB",0,0,8
1,330,"FLW",0,0,3
1,331,"FB",1,0,7
1,331,"FLW",0,0,4
1,332,"FB",0,0,9
1,332,"FLW",0,0,2
1,333,"FB",2,0,9
1,333,"FLW",0,0,3
1,334,"FB",1,0,11
1,334,"FLW",0,0,2
1,335,"FB",0,0,10
1,335,"FLW",0,0,7
1,336,"FB",1,0,3
1,336,"FLW",0,0,3
1,337,"FB",2,0,7
1,337,"FLW",0,0,3
1,338,"FB",0,0,8
1,338,"FLW",0,0,2
1,339,"FB",3,0,9
1,339,"FLW",0,0,6
1,34,"FB",0,0,8
1,34,"FLW",0,0,5
1,340,"FB",0,0,9
1,340,"FLW",0,0,2
1,341,"FB",0,0,4
1,341,"FLW",1,0,4
1,342,"FB",1,0,12
1,342,"FLW",0,0,3
1,343,"FB",2,0,9
1,343,"FLW",0,0,3
1,344,"FB",2,0,4
1,344,"FLW",0,0,2
1,345,"FB",4,0,6
1,345,"FLW",0,0,1
1,346,"FB",0,0,3
1,346,"FLW",0,0,5
1,347,"FB",0,0,5
1,347,"FLW",1,0,5
1,348,"FB",0,0,2
1,348,"FLW",0,0,2
1,349,"FB",3,0,7
1,349,"FLW",0,0,5
1,35,"FB",0,0,10
1,35,"FLW",0,0,1
1,350,"FB",0,0,6
1,350,"FLW",0,0,3
1,351,"FB",0,0,9
1,351,"FLW",0,0,7
1,352,"FB",1,1,2
1,352,"FLW",0,0,2
1,353,"FB",2,0,5
1,353,"FLW",0,0,3
1,354,"FB",0,0,7
1,354,"FLW",1,0,5
