"R0_fit","site"
5.42460712303562,"FB"
5.47860739303696,"FB"
5.71629858149291,"FB"
5.73717868589343,"FB"
5.75436877184386,"FB"
5.88495942479712,"FB"
5.93436967184836,"FB"
6.07324036620183,"FB"
6.15388076940385,"FB"
6.38914194570973,"FB"
6.43432217161086,"FB"
6.5080325401627,"FB"
6.8600243001215,"FB"
7.01104505522528,"FB"
7.01806509032545,"FB"
7.11508557542788,"FB"
7.14154570772854,"FB"
7.17691588457942,"FB"
7.25143625718129,"FB"
7.33018665093326,"FB"
7.42927714638573,"FB"
7.4759873799369,"FB"
7.48561742808714,"FB"
7.55770778853894,"FB"
7.56094780473902,"FB"
7.62457812289061,"FB"
7.72870864354322,"FB"
7.72888864444322,"FB"
7.83166915834579,"FB"
7.88206941034705,"FB"
7.9519997599988,"FB"
8.01248006240031,"FB"
8.03291016455082,"FB"
8.05172025860129,"FB"
8.15450077250386,"FB"
8.16854084270421,"FB"
8.18465092325462,"FB"
8.1959009795049,"FB"
8.22335111675558,"FB"
8.27078135390677,"FB"
8.35835179175896,"FB"
8.39768198840994,"FB"
8.4320621603108,"FB"
8.45582227911139,"FB"
8.52170260851304,"FB"
8.54204271021355,"FB"
8.56607283036415,"FB"
8.64563322816614,"FB"
8.70692353461767,"FB"
8.74166370831854,"FB"
8.74229371146856,"FB"
8.7719938599693,"FB"
8.80142400712004,"FB"
8.87675438377192,"FB"
8.94614473072365,"FB"
8.99519497597488,"FB"
9.00608503042515,"FB"
9.04199520997605,"FB"
9.04973524867624,"FB"
9.11345556727784,"FB"
9.12110560552803,"FB"
9.1359556797784,"FB"
9.14648573242866,"FB"
9.15089575447877,"FB"
9.16268581342907,"FB"
9.18599592997965,"FB"
9.19625598127991,"FB"
9.19913599567998,"FB"
9.20669603348017,"FB"
9.24665623328117,"FB"
9.32684663423317,"FB"
9.3320666603333,"FB"
9.34556672783364,"FB"
9.36140680703404,"FB"
9.36626683133416,"FB"
9.38282691413457,"FB"
9.44357721788609,"FB"
9.45275726378632,"FB"
9.46292731463657,"FB"
9.4640073200366,"FB"
9.54194770973855,"FB"
9.54482772413862,"FB"
9.54896774483872,"FB"
9.61286806434032,"FB"
9.65624828124141,"FB"
9.6598482992415,"FB"
9.6962084810424,"FB"
9.71294856474282,"FB"
9.71492857464287,"FB"
9.71735858679293,"FB"
9.7917889589448,"FB"
9.83876919384597,"FB"
9.84272921364607,"FB"
9.84326921634608,"FB"
9.93407967039835,"FB"
9.94163970819854,"FB"
9.96431982159911,"FB"
9.98897994489973,"FB"
10.0314601573008,"FB"
10.0687203436017,"FB"
10.0835704178521,"FB"
10.0848304241521,"FB"
10.1277606388032,"FB"
10.1854509272546,"FB"
10.200931004655,"FB"
10.3510517552588,"FB"
10.3540217701089,"FB"
10.3862419312097,"FB"
10.3954219771099,"FB"
10.4071220356102,"FB"
10.4550922754614,"FB"
10.519172595863,"FB"
10.521692608463,"FB"
10.5262826314132,"FB"
10.5559827799139,"FB"
10.5895529477647,"FB"
10.5928829644148,"FB"
10.6056630283151,"FB"
10.6278031390157,"FB"
10.641123205616,"FB"
10.6442732213661,"FB"
10.6772133860669,"FB"
10.7374236871184,"FB"
10.7493937469687,"FB"
10.7577637888189,"FB"
10.7703638518193,"FB"
10.840294201471,"FB"
10.8740443702219,"FB"
10.9393846969235,"FB"
10.9819549097745,"FB"
10.9856449282246,"FB"
10.9907749538748,"FB"
11.000765003825,"FB"
11.0036450182251,"FB"
11.0052650263251,"FB"
11.0092250461252,"FB"
11.0117450587253,"FB"
11.0972454862274,"FB"
11.0989554947775,"FB"
11.1933659668298,"FB"
11.2160460802304,"FB"
11.2447562237811,"FB"
11.2474562372812,"FB"
11.2591562957815,"FB"
11.3698568492842,"FB"
11.398656993285,"FB"
11.4200771003855,"FB"
11.4834374171871,"FB"
11.5428377141886,"FB"
11.561827809139,"FB"
11.5708278541393,"FB"
11.5725378626893,"FB"
11.5857679288396,"FB"
11.5917979589898,"FB"
11.6180780903905,"FB"
11.6581282906415,"FB"
