"rep","importation","facemask","infections"
4,1,"0.2",0
5,1,"0.2",1
6,1,"0.2",4
7,1,"0.2",0
8,1,"0.2",1
9,1,"0.2",0
10,1,"0.2",203
11,1,"0.2",202
12,1,"0.2",0
13,1,"0.2",1
14,1,"0.2",0
15,1,"0.2",2
16,1,"0.2",183
17,1,"0.2",0
18,1,"0.2",0
19,1,"0.2",187
20,1,"0.2",616
21,1,"0.2",405
22,1,"0.2",0
23,1,"0.2",180
24,1,"0.2",202
25,1,"0.2",0
26,1,"0.2",2
27,1,"0.2",184
28,1,"0.2",2
29,1,"0.2",193
30,1,"0.2",0
31,1,"0.2",377
32,1,"0.2",386
33,1,"0.2",0
34,1,"0.2",233
35,1,"0.2",0
36,1,"0.2",207
37,1,"0.2",0
38,1,"0.2",3
39,1,"0.2",0
40,1,"0.2",0
41,1,"0.2",0
42,1,"0.2",6
43,1,"0.2",0
44,1,"0.2",440
45,1,"0.2",0
46,1,"0.2",210
47,1,"0.2",196
48,1,"0.2",0
49,1,"0.2",599
50,1,"0.2",406
51,1,"0.2",0
52,1,"0.2",1
53,1,"0.2",0
54,1,"0.2",414
55,1,"0.2",1
56,1,"0.2",0
57,1,"0.2",0
58,1,"0.2",0
59,1,"0.2",1
60,1,"0.2",1
61,1,"0.2",209
62,1,"0.2",1
63,1,"0.2",1
64,1,"0.2",392
65,1,"0.2",4
66,1,"0.2",0
67,1,"0.2",7
68,1,"0.2",1
69,1,"0.2",214
70,1,"0.2",0
71,1,"0.2",0
72,1,"0.2",1
73,1,"0.2",0
74,1,"0.2",1
75,1,"0.2",217
76,1,"0.2",585
77,1,"0.2",3
78,1,"0.2",197
79,1,"0.2",206
80,1,"0.2",211
81,1,"0.2",0
82,1,"0.2",0
83,1,"0.2",212
84,1,"0.2",414
85,1,"0.2",9
86,1,"0.2",398
87,1,"0.2",10
88,1,"0.2",0
89,1,"0.2",197
90,1,"0.2",206
91,1,"0.2",1
92,1,"0.2",414
93,1,"0.2",206
94,1,"0.2",0
95,1,"0.2",205
96,1,"0.2",0
97,1,"0.2",218
98,1,"0.2",0
99,1,"0.2",206
100,1,"0.2",0
1,2,"0.2",205
2,2,"0.2",196
3,2,"0.2",2
4,2,"0.2",0
5,2,"0.2",491
6,2,"0.2",0
7,2,"0.2",56
8,2,"0.2",586
9,2,"0.2",286
10,2,"0.2",623
11,2,"0.2",216
12,2,"0.2",4
13,2,"0.2",605
14,2,"0.2",216
15,2,"0.2",66
16,2,"0.2",401
17,2,"0.2",0
18,2,"0.2",618
19,2,"0.2",0
20,2,"0.2",1
21,2,"0.2",405
22,2,"0.2",1
23,2,"0.2",0
24,2,"0.2",194
25,2,"0.2",213
26,2,"0.2",1
27,2,"0.2",150
28,2,"0.2",2
29,2,"0.2",201
30,2,"0.2",614
31,2,"0.2",6
32,2,"0.2",176
33,2,"0.2",191
34,2,"0.2",1
35,2,"0.2",387
36,2,"0.2",607
37,2,"0.2",393
38,2,"0.2",593
39,2,"0.2",4
40,2,"0.2",427
41,2,"0.2",526
42,2,"0.2",412
43,2,"0.2",207
44,2,"0.2",212
45,2,"0.2",762
46,2,"0.2",408
47,2,"0.2",403
48,2,"0.2",389
49,2,"0.2",2
50,2,"0.2",0
51,2,"0.2",578
52,2,"0.2",0
53,2,"0.2",213
54,2,"0.2",407
55,2,"0.2",592
56,2,"0.2",12
57,2,"0.2",194
58,2,"0.2",194
59,2,"0.2",202
60,2,"0.2",203
61,2,"0.2",695
62,2,"0.2",0
63,2,"0.2",331
64,2,"0.2",208
65,2,"0.2",345
66,2,"0.2",207
67,2,"0.2",202
68,2,"0.2",393
69,2,"0.2",212
70,2,"0.2",412
71,2,"0.2",575
72,2,"0.2",207
73,2,"0.2",566
74,2,"0.2",47
75,2,"0.2",2
76,2,"0.2",0
77,2,"0.2",173
78,2,"0.2",17
79,2,"0.2",523
80,2,"0.2",530
81,2,"0.2",0
82,2,"0.2",4
83,2,"0.2",2
84,2,"0.2",205
85,2,"0.2",384
86,2,"0.2",1
87,2,"0.2",395
88,2,"0.2",597
89,2,"0.2",202
90,2,"0.2",1
91,2,"0.2",208
92,2,"0.2",392
93,2,"0.2",83
94,2,"0.2",95
95,2,"0.2",10
96,2,"0.2",3
97,2,"0.2",0
98,2,"0.2",204
99,2,"0.2",0
100,2,"0.2",204
1,3,"0.2",529
2,3,"0.2",814
3,3,"0.2",967
4,3,"0.2",989
5,3,"0.2",732
6,3,"0.2",1014
7,3,"0.2",1042
8,3,"0.2",799
9,3,"0.2",395
10,3,"0.2",1047
11,3,"0.2",1002
12,3,"0.2",701
13,3,"0.2",861
14,3,"0.2",1000
15,3,"0.2",828
16,3,"0.2",1010
17,3,"0.2",524
18,3,"0.2",913
19,3,"0.2",992
20,3,"0.2",359
21,3,"0.2",613
22,3,"0.2",607
23,3,"0.2",1014
24,3,"0.2",1014
25,3,"0.2",459
26,3,"0.2",550
27,3,"0.2",624
28,3,"0.2",843
29,3,"0.2",1007
30,3,"0.2",825
31,3,"0.2",652
32,3,"0.2",832
33,3,"0.2",613
34,3,"0.2",1057
35,3,"0.2",1015
36,3,"0.2",1046
37,3,"0.2",754
38,3,"0.2",614
39,3,"0.2",767
40,3,"0.2",1047
41,3,"0.2",408
42,3,"0.2",1009
43,3,"0.2",935
44,3,"0.2",970
45,3,"0.2",981
46,3,"0.2",977
47,3,"0.2",799
48,3,"0.2",609
49,3,"0.2",844
50,3,"0.2",775
51,3,"0.2",390
52,3,"0.2",422
53,3,"0.2",744
54,3,"0.2",1016
55,3,"0.2",1005
56,3,"0.2",751
57,3,"0.2",773
58,3,"0.2",969
59,3,"0.2",977
60,3,"0.2",499
61,3,"0.2",995
62,3,"0.2",611
63,3,"0.2",826
64,3,"0.2",981
65,3,"0.2",828
66,3,"0.2",743
67,3,"0.2",816
68,3,"0.2",502
69,3,"0.2",971
70,3,"0.2",699
71,3,"0.2",993
72,3,"0.2",1015
73,3,"0.2",809
74,3,"0.2",815
75,3,"0.2",874
76,3,"0.2",1066
77,3,"0.2",998
78,3,"0.2",739
79,3,"0.2",421
80,3,"0.2",1000
81,3,"0.2",1038
82,3,"0.2",624
83,3,"0.2",803
84,3,"0.2",1014
85,3,"0.2",212
86,3,"0.2",1041
87,3,"0.2",1017
88,3,"0.2",1035
89,3,"0.2",808
90,3,"0.2",274
91,3,"0.2",616
92,3,"0.2",865
93,3,"0.2",851
94,3,"0.2",757
95,3,"0.2",646
96,3,"0.2",443
97,3,"0.2",616
98,3,"0.2",823
99,3,"0.2",886
100,3,"0.2",785
1,1,"0.4",0
2,1,"0.4",0
3,1,"0.4",0
4,1,"0.4",0
5,1,"0.4",1
6,1,"0.4",167
7,1,"0.4",193
8,1,"0.4",203
9,1,"0.4",0
10,1,"0.4",2
11,1,"0.4",326
12,1,"0.4",1
13,1,"0.4",4
14,1,"0.4",363
15,1,"0.4",0
16,1,"0.4",0
17,1,"0.4",361
18,1,"0.4",7
19,1,"0.4",199
20,1,"0.4",366
21,1,"0.4",0
22,1,"0.4",2
23,1,"0.4",1
24,1,"0.4",2
25,1,"0.4",0
26,1,"0.4",0
27,1,"0.4",0
28,1,"0.4",0
29,1,"0.4",0
30,1,"0.4",0
31,1,"0.4",0
32,1,"0.4",2
33,1,"0.4",0
34,1,"0.4",153
35,1,"0.4",188
36,1,"0.4",0
37,1,"0.4",190
38,1,"0.4",2
39,1,"0.4",1
40,1,"0.4",369
41,1,"0.4",199
42,1,"0.4",0
43,1,"0.4",0
44,1,"0.4",0
45,1,"0.4",21
46,1,"0.4",193
47,1,"0.4",1
48,1,"0.4",388
49,1,"0.4",3
50,1,"0.4",173
51,1,"0.4",396
52,1,"0.4",0
53,1,"0.4",0
54,1,"0.4",0
55,1,"0.4",195
56,1,"0.4",0
57,1,"0.4",196
58,1,"0.4",2
59,1,"0.4",0
60,1,"0.4",4
61,1,"0.4",530
62,1,"0.4",1
63,1,"0.4",0
64,1,"0.4",0
65,1,"0.4",189
66,1,"0.4",375
67,1,"0.4",177
68,1,"0.4",197
69,1,"0.4",0
70,1,"0.4",337
71,1,"0.4",0
72,1,"0.4",184
73,1,"0.4",183
74,1,"0.4",170
75,1,"0.4",0
76,1,"0.4",2
77,1,"0.4",1
78,1,"0.4",1
79,1,"0.4",0
80,1,"0.4",0
81,1,"0.4",3
82,1,"0.4",339
83,1,"0.4",198
84,1,"0.4",0
85,1,"0.4",8
86,1,"0.4",1
87,1,"0.4",201
88,1,"0.4",182
89,1,"0.4",201
90,1,"0.4",0
91,1,"0.4",371
92,1,"0.4",188
93,1,"0.4",1
94,1,"0.4",0
95,1,"0.4",2
96,1,"0.4",169
97,1,"0.4",0
98,1,"0.4",175
99,1,"0.4",191
100,1,"0.4",169
1,2,"0.4",312
2,2,"0.4",387
3,2,"0.4",106
4,2,"0.4",1
5,2,"0.4",579
6,2,"0.4",416
7,2,"0.4",2
8,2,"0.4",1
9,2,"0.4",0
10,2,"0.4",369
11,2,"0.4",390
12,2,"0.4",367
13,2,"0.4",1
14,2,"0.4",0
15,2,"0.4",2
16,2,"0.4",200
17,2,"0.4",197
18,2,"0.4",208
19,2,"0.4",130
20,2,"0.4",14
21,2,"0.4",192
22,2,"0.4",15
23,2,"0.4",0
24,2,"0.4",739
25,2,"0.4",18
26,2,"0.4",205
27,2,"0.4",226
28,2,"0.4",2
29,2,"0.4",174
30,2,"0.4",190
31,2,"0.4",0
32,2,"0.4",360
33,2,"0.4",193
34,2,"0.4",183
35,2,"0.4",3
36,2,"0.4",0
37,2,"0.4",7
38,2,"0.4",369
39,2,"0.4",1
40,2,"0.4",589
41,2,"0.4",361
42,2,"0.4",1
43,2,"0.4",0
44,2,"0.4",538
45,2,"0.4",205
46,2,"0.4",3
47,2,"0.4",1
48,2,"0.4",146
49,2,"0.4",175
50,2,"0.4",0
51,2,"0.4",173
52,2,"0.4",204
53,2,"0.4",194
54,2,"0.4",206
55,2,"0.4",0
56,2,"0.4",185
57,2,"0.4",106
58,2,"0.4",201
59,2,"0.4",191
60,2,"0.4",178
61,2,"0.4",0
62,2,"0.4",553
63,2,"0.4",20
64,2,"0.4",723
65,2,"0.4",44
66,2,"0.4",387
67,2,"0.4",4
68,2,"0.4",522
69,2,"0.4",150
70,2,"0.4",13
71,2,"0.4",0
72,2,"0.4",2
73,2,"0.4",186
74,2,"0.4",1
75,2,"0.4",276
76,2,"0.4",0
77,2,"0.4",1
78,2,"0.4",0
79,2,"0.4",0
80,2,"0.4",5
81,2,"0.4",204
82,2,"0.4",35
83,2,"0.4",192
84,2,"0.4",1
85,2,"0.4",335
86,2,"0.4",0
87,2,"0.4",1
88,2,"0.4",165
89,2,"0.4",181
90,2,"0.4",1
91,2,"0.4",153
92,2,"0.4",365
93,2,"0.4",1
94,2,"0.4",190
95,2,"0.4",31
96,2,"0.4",397
97,2,"0.4",197
98,2,"0.4",25
99,2,"0.4",216
100,2,"0.4",2
1,3,"0.4",541
2,3,"0.4",856
3,3,"0.4",245
4,3,"0.4",752
5,3,"0.4",376
6,3,"0.4",321
7,3,"0.4",571
8,3,"0.4",551
9,3,"0.4",534
10,3,"0.4",506
11,3,"0.4",964
12,3,"0.4",682
13,3,"0.4",880
14,3,"0.4",811
15,3,"0.4",587
16,3,"0.4",780
17,3,"0.4",622
18,3,"0.4",911
19,3,"0.4",541
20,3,"0.4",584
21,3,"0.4",954
22,3,"0.4",788
23,3,"0.4",530
24,3,"0.4",750
25,3,"0.4",826
26,3,"0.4",524
27,3,"0.4",781
28,3,"0.4",181
29,3,"0.4",394
30,3,"0.4",634
31,3,"0.4",300
32,3,"0.4",380
33,3,"0.4",888
34,3,"0.4",404
35,3,"0.4",535
36,3,"0.4",773
37,3,"0.4",692
38,3,"0.4",685
39,3,"0.4",680
40,3,"0.4",573
41,3,"0.4",530
42,3,"0.4",709
43,3,"0.4",748
44,3,"0.4",758
45,3,"0.4",547
46,3,"0.4",790
47,3,"0.4",725
48,3,"0.4",782
49,3,"0.4",613
50,3,"0.4",341
51,3,"0.4",736
52,3,"0.4",958
53,3,"0.4",641
54,3,"0.4",759
55,3,"0.4",690
56,3,"0.4",785
57,3,"0.4",548
58,3,"0.4",835
59,3,"0.4",770
60,3,"0.4",493
61,3,"0.4",571
62,3,"0.4",559
63,3,"0.4",328
64,3,"0.4",818
65,3,"0.4",397
66,3,"0.4",867
