"time","rep","importation","facemask","infections"
73,8,1,"0",0
1,9,1,"0",0
2,9,1,"0",0
3,9,1,"0",0
4,9,1,"0",0
5,9,1,"0",0
6,9,1,"0",0
7,9,1,"0",0
8,9,1,"0",0
9,9,1,"0",0
10,9,1,"0",0
11,9,1,"0",0
12,9,1,"0",0
13,9,1,"0",0
14,9,1,"0",0
15,9,1,"0",0
16,9,1,"0",0
17,9,1,"0",0
18,9,1,"0",0
19,9,1,"0",0
20,9,1,"0",0
21,9,1,"0",0
22,9,1,"0",0
23,9,1,"0",0
24,9,1,"0",0
25,9,1,"0",0
26,9,1,"0",0
27,9,1,"0",0
28,9,1,"0",0
29,9,1,"0",0
30,9,1,"0",0
31,9,1,"0",0
32,9,1,"0",0
33,9,1,"0",0
34,9,1,"0",0
35,9,1,"0",0
36,9,1,"0",0
37,9,1,"0",0
38,9,1,"0",0
39,9,1,"0",0
40,9,1,"0",0
41,9,1,"0",0
42,9,1,"0",0
43,9,1,"0",0
44,9,1,"0",0
45,9,1,"0",0
46,9,1,"0",0
47,9,1,"0",0
48,9,1,"0",0
49,9,1,"0",0
50,9,1,"0",0
51,9,1,"0",0
52,9,1,"0",0
53,9,1,"0",0
54,9,1,"0",0
55,9,1,"0",0
56,9,1,"0",0
57,9,1,"0",0
58,9,1,"0",0
59,9,1,"0",0
60,9,1,"0",0
61,9,1,"0",0
62,9,1,"0",0
63,9,1,"0",0
64,9,1,"0",0
65,9,1,"0",0
66,9,1,"0",0
67,9,1,"0",0
68,9,1,"0",0
69,9,1,"0",0
70,9,1,"0",0
71,9,1,"0",0
72,9,1,"0",0
73,9,1,"0",0
1,10,1,"0",1
2,10,1,"0",1
3,10,1,"0",0
4,10,1,"0",0
5,10,1,"0",1
6,10,1,"0",0
7,10,1,"0",2
8,10,1,"0",2
9,10,1,"0",0
10,10,1,"0",0
11,10,1,"0",1
12,10,1,"0",2
13,10,1,"0",1
14,10,1,"0",2
15,10,1,"0",2
16,10,1,"0",0
17,10,1,"0",1
18,10,1,"0",2
19,10,1,"0",0
20,10,1,"0",1
21,10,1,"0",2
22,10,1,"0",1
23,10,1,"0",3
24,10,1,"0",2
25,10,1,"0",4
26,10,1,"0",7
27,10,1,"0",3
28,10,1,"0",7
29,10,1,"0",2
30,10,1,"0",10
31,10,1,"0",13
32,10,1,"0",12
33,10,1,"0",11
34,10,1,"0",11
35,10,1,"0",11
36,10,1,"0",10
37,10,1,"0",13
38,10,1,"0",10
39,10,1,"0",6
40,10,1,"0",14
41,10,1,"0",5
42,10,1,"0",2
43,10,1,"0",4
44,10,1,"0",6
45,10,1,"0",2
46,10,1,"0",7
47,10,1,"0",1
48,10,1,"0",2
49,10,1,"0",1
50,10,1,"0",0
51,10,1,"0",1
52,10,1,"0",1
53,10,1,"0",2
54,10,1,"0",0
55,10,1,"0",0
56,10,1,"0",0
57,10,1,"0",0
58,10,1,"0",0
59,10,1,"0",0
60,10,1,"0",0
61,10,1,"0",0
62,10,1,"0",0
63,10,1,"0",0
64,10,1,"0",0
65,10,1,"0",0
66,10,1,"0",0
