"time","rep","importation","sim_scenario","infections"
28,3,1,"NoIntervention",28
29,3,1,"NoIntervention",21
30,3,1,"NoIntervention",18
31,3,1,"NoIntervention",16
32,3,1,"NoIntervention",14
33,3,1,"NoIntervention",18
34,3,1,"NoIntervention",5
35,3,1,"NoIntervention",8
36,3,1,"NoIntervention",8
37,3,1,"NoIntervention",6
38,3,1,"NoIntervention",6
39,3,1,"NoIntervention",5
40,3,1,"NoIntervention",2
41,3,1,"NoIntervention",8
42,3,1,"NoIntervention",5
43,3,1,"NoIntervention",7
44,3,1,"NoIntervention",10
45,3,1,"NoIntervention",12
46,3,1,"NoIntervention",12
47,3,1,"NoIntervention",17
48,3,1,"NoIntervention",19
49,3,1,"NoIntervention",21
50,3,1,"NoIntervention",15
51,3,1,"NoIntervention",18
52,3,1,"NoIntervention",16
53,3,1,"NoIntervention",15
54,3,1,"NoIntervention",10
55,3,1,"NoIntervention",14
56,3,1,"NoIntervention",2
57,3,1,"NoIntervention",5
58,3,1,"NoIntervention",2
59,3,1,"NoIntervention",3
60,3,1,"NoIntervention",2
61,3,1,"NoIntervention",1
62,3,1,"NoIntervention",2
63,3,1,"NoIntervention",1
64,3,1,"NoIntervention",2
65,3,1,"NoIntervention",0
66,3,1,"NoIntervention",0
67,3,1,"NoIntervention",1
68,3,1,"NoIntervention",0
69,3,1,"NoIntervention",1
70,3,1,"NoIntervention",0
71,3,1,"NoIntervention",1
72,3,1,"NoIntervention",2
73,3,1,"NoIntervention",2
1,4,1,"NoIntervention",0
2,4,1,"NoIntervention",1
3,4,1,"NoIntervention",0
4,4,1,"NoIntervention",0
5,4,1,"NoIntervention",2
6,4,1,"NoIntervention",0
7,4,1,"NoIntervention",0
8,4,1,"NoIntervention",1
9,4,1,"NoIntervention",0
10,4,1,"NoIntervention",1
11,4,1,"NoIntervention",0
12,4,1,"NoIntervention",2
13,4,1,"NoIntervention",2
14,4,1,"NoIntervention",1
15,4,1,"NoIntervention",2
16,4,1,"NoIntervention",5
17,4,1,"NoIntervention",6
18,4,1,"NoIntervention",5
19,4,1,"NoIntervention",7
20,4,1,"NoIntervention",16
21,4,1,"NoIntervention",12
22,4,1,"NoIntervention",17
23,4,1,"NoIntervention",16
24,4,1,"NoIntervention",25
25,4,1,"NoIntervention",21
26,4,1,"NoIntervention",14
27,4,1,"NoIntervention",15
28,4,1,"NoIntervention",13
29,4,1,"NoIntervention",14
30,4,1,"NoIntervention",7
31,4,1,"NoIntervention",8
32,4,1,"NoIntervention",5
33,4,1,"NoIntervention",2
34,4,1,"NoIntervention",1
35,4,1,"NoIntervention",1
36,4,1,"NoIntervention",0
37,4,1,"NoIntervention",1
38,4,1,"NoIntervention",1
39,4,1,"NoIntervention",0
40,4,1,"NoIntervention",0
41,4,1,"NoIntervention",0
42,4,1,"NoIntervention",0
43,4,1,"NoIntervention",0
